Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_BCC_A2#1,phasefrac_M7C3_D101#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_BCC_A2,phasefrac_base_CEMENTITE_D011,phasefrac_base_M7C3_D101,phasefrac_base_MS_B1,phasefrac_base_CE2S3,phasefrac_base_CE3S4_D73,phasefrac_base_CE2C3_D5C,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.02,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.02,1.0,ok,,BCC_A2#1;CE3S4_D73#1;M7C3_D101#1;MS_B1#1,4,0.9915411657432149,0.0082928677145525,0.00011473447403424532,1.0000000000000002,0.9915411657432149,0.0,0.0082928677145525,0.00011473447403424532,0.0,5.1232068198496783e-05,0.0,0.9915411657432149,0.7422705643756413,0.7701113901703301,0.30193907279975846,,5.1232068198496783e-05,,0.0,False
0.02,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.02,1.1,ok,,BCC_A2#1;CE3S4_D73#1;M7C3_D101#1;MS_B1#1,4,0.9914534174803658,0.008380628205502914,0.00011472602892072504,0.9999999999999998,0.9914534174803658,0.0,0.008380628205502914,0.00011472602892072504,0.0,5.1228285210449115e-05,0.0,0.9914534174803658,0.8255473992254307,0.7719135553503608,0.3019559026543622,,5.1228285210449115e-05,,0.0,True
0.02,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.02,1.2,ok,,BCC_A2#1;CE3S4_D73#1;M7C3_D101#1;MS_B1#1,4,0.9913777083866372,0.008456349527294174,0.00011471757095111686,1.0,0.9913777083866372,0.0,0.008456349527294174,0.00011471757095111686,0.0,5.122451511768492e-05,0.0,0.9913777083866372,0.9102420212554493,0.7735586396027334,0.301970234453426,,5.122451511768492e-05,,0.0,True
0.02,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.02,1.3,ok,,BCC_A2#1;CE3S4_D73#1;M7C3_D101#1;MS_B1#1,4,0.9913121450589807,0.008521925082757585,0.00011470910185501425,0.9999999999999998,0.9913121450589807,0.0,0.008521925082757585,0.00011470910185501425,0.0,5.1220756406470067e-05,0.0,0.9913121450589807,0.9961795046330744,0.7750645733168481,0.30198247104174414,,5.1220756406470067e-05,,0.0,True
0.02,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.02,1.4,ok,,BCC_A2#1;CE3S4_D73#1;M7C3_D101#1;MS_B1#1,4,0.9912551334976327,0.00857894887146756,0.00011470062315953997,1.0,0.9912551334976327,0.0,0.00857894887146756,0.00011470062315953997,0.0,5.121700774022902e-05,0.0,0.9912551334976327,1.0832117244365886,0.7764474821829228,0.30199295154924444,,5.121700774022902e-05,,0.0,True
0.025,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.025,1.0,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9915619187099515,0.00823461967715027,0.00017329061551322634,0.9999999999999997,0.9915619187099515,0.0,0.00823461967715027,0.00017329061551322634,0.0,0.0,3.0170997384798257e-05,0.9915619187099515,0.7438581744697256,0.7703988264685326,0.30194182899394917,,,3.0170997384798257e-05,0.0,False
0.025,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.025,1.1,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9914741315632538,0.008322640161056537,0.00017327784657653018,0.9999999999999997,0.9914741315632538,0.0,0.008322640161056537,0.00017327784657653018,0.0,0.0,2.9950429112834075e-05,0.9914741315632538,0.8272398834774349,0.7721835738169887,0.3019586651194675,,,2.9950429112834075e-05,0.0,True
0.025,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.025,1.2,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9913983389551841,0.008398699191138512,0.00017326507950787088,1.0,0.9913983389551841,0.0,0.008398699191138512,0.00017326507950787088,0.0,0.0,2.9696774169513304e-05,0.9913983389551841,0.9120271683779074,0.773812635531248,0.301973007262622,,,2.9696774169513304e-05,0.0,True
0.025,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.025,1.3,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9913326419956151,0.008464698587505787,0.00017325231430719503,1.0000000000000002,0.9913326419956151,0.0,0.008464698587505787,0.00017325231430719503,0.0,0.0,2.940710257214297e-05,0.9913326419956151,0.9980456940723024,0.7753037698572026,0.30198525933957854,,,2.940710257214297e-05,0.0,True
0.025,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.025,1.4,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.991275443089894,0.008522238986390472,0.00017323955097462142,1.0000000000000002,0.991275443089894,0.0,0.008522238986390472,0.00017323955097462142,0.0,0.0,2.9078372741056504e-05,0.991275443089894,1.0851478081256118,0.7766729423995056,0.3019957610723429,,,2.9078372741056504e-05,0.0,True
